Название,Цена,Изображение
Ноутбук Acer Nitro 5 ANV15-51 Core i5 13420H 16G / SSD 512GB / GeForce RTX 2050 4GB / NO OS / NH.QNDER.002,72 590сом,/g/noutbuki_acer_nitro_5__anv15_51__i5165sg25n
Ноутбук Acer Nitro 5 ANV15-51 Core i5 13420H 16GB / SSD 512GB / GeForce RTX 3050 6GB / NO OS / NH.QNCER.002,82 390сом,/g/noutbuki_acer_nitro_5__anv15_51__i5165sg35n
Ноутбук Acer Aspire 7 A715-76G Core i5 12450H 16GB / SSD 512GB / GeForce RTX 3050 4GB / NO OS / NH.QMFER.002,66 690сом,/g/noutbuki_acer_aspire_7__a715_76g__i5165sg35n
Ноутбук Asus TUF Gaming F15 FX506H Core i7-11800H 16GB / SSD 512 / GeForce RTX 3050 4GB / DOS / 90NR0724-M00ZU0,92 190сом,/g/noutbuki_asus_tuf_fx506h__i5165sg35n
Ноутбук ASUS TUF F15 FX507ZC4-HN144 Core i5 12500H 16GB / SSD 512 GB / GeForce RTX 3050 4GB / DOS /  90NR0GW1-M00B50,82 390сом,/g/noutbuki_asus_tuf_f15_fx507zc4_hn144__90nr0gw1_m00b50__i5165sg35n
Ноутбук Lenovo LOQ Corei5 12450H 16GB / SSD512 / GeForce RTX 4050 6GB / DOS / 82XV00QURK,90 190сом,/g/noutbuki_lenovo_loq_15irh8__82xv00qurk__i5165sg45n
Ноутбук Lenovo IdeaPad S3 Ryzen 5 7520U 16 GB / SSD 512 GB / DOS / 82XQ00BHRK,47 090сом,/g/noutbuki_lenovo_ideapad_s3_15amn8__82xq00bhrk__r5165sun
Ноутбук Asus Vivobook X1504ZA-BQ297 Corei5 1235U 16GB /  SSD 512GB / Integrated / DOS / 90NB1021-M00DL0,56 890сом,/g/noutbuki_asus_vivobook_x1504za_bq297_90nb1021_m00dl0_i5165sun
Ноутбук Acer Nitro 5 AN515-58 Core i5-12450H 16GB / SSD 512 GB / GeForce RTX 4050 6GB / DOS / NH.QLZER.008,94 190сом,/g/noutbuki_acer_nitro_5_an515_58__nhqlzer008__i5165sg45n
Ноутбук Acer Aspire 3 A315-59 Core i3 1215U 8 GB / SSD 256 / DOS / NX.K6SER.00B,37 290сом,/g/noutbuki_acer_aspire_3_a315_59__nxk6ser00b__i382sun
Ноутбук Acer Aspire 5 Corei5 1240P 16GB / SSD 512GB / GeForce RTX 2050 4GB / DOS / NX.KNZER.001,64 790сом,/g/noutbuki_acer_aspire_5__a515_57__nxknzer001__i5165sg25n
Ноутбук Lenovo IdeaPad S1 Ryzen 5-5500U 16GB / SSD 512GB / R5165SUN,49 090сом,/g/noutbuki_lenovo_ideapad_s1_ryzen_5_5500u_16gb__ssd_512gb__r5165sun
Ноутбук Asus Vivobook 15 Core i5 12500H / 8GB / SSD 512GB / Win 11 / 90NB0VX1-M02NF0,54 990сом,/g/noutbuki_asus_vivobook_15__x1502za_bq1860w__i585suw1
Ноутбук Asus Vivobook X1504ZA-BQ084 Corei3 1215U 8GB / SSD 256GB / DOS / 90NB1021-M003H0,39 290сом,/g/noutbuki_asus_vivobook_x1504za_bq084_90nb1021_m003h0_i382sun
Ноутбук Acer Aspire 5 A515-58P Corei5 1335U 16GB / SSD 512GB / NX.KHJER.005,50 990сом,/g/noutbuki_acer_aspire_5__a515_58p__i5165sun
Ноутбук Lenovo IdeaPad S3 5IAH8 Core i5 12450H 8 GB / SSD 512 GB / DOS / 83ER001TRK,47 090сом,/g/noutbuki_lenovo_ideapad_s3_15iah8__83er001trk__i585sun
Ноутбук Lenovo LOQ 15IRH8 Core i7 13620H 16 GB / SSD 512 / GeForce RTX 4060 8GB / DOS / 82XV00KHRK,123 590сом,/g/noutbuki_lenovo_loq_15irh8__82xv00khrk__i7165sg46n
Ноутбук Lenovo IdeaPad S3 15AMN8 Ryzen 3 7320U 8 GB / SSD 512 GB / DOS / 82XQ007MRK,35 290сом,/g/noutbuki_lenovo_ideapad_s3_15amn8__82xq007mrk__r385sun
Ноутбук Acer Aspire 5 A515-57G Core i5 1235U 8 GB / SSD 512 / GeForce RTX 2050 4 GB/ DOS / NX.KMHER.001,58 890сом,/g/noutbuki_acer_aspire_5__a515_57g__nxkmher001__i585sg25n
Ноутбук HUAWEI MateBook D 14 W3821 Corei3 1215U 8GB / SSD 256 GB / Intel UHD Graphics / Windows 11 Home / I385SUW1,54 990сом,/g/noutbuki_huawei_matebook_d_14__w3821__i385suw1
Ноутбук Acer Aspire 3 A315-44P Ryzen 7 5700U / 16GB / SSD 512GB / Radeon Graphics / NO OS / NX.KSJER.007,50 990сом,/g/noutbuki_acer_aspire_3__a315_44p__r7165sun
Ноутбук Acer Nitro 5 AN515-58 Core i5 12450H 16GB / SSD 512 GB / GeForce RTX 3050 4GB / DOS / NH.QFJER.00N,76 490сом,/g/noutbuki_acer_aspire_5_a515_57g__nxk9ter007__i5165sg25n
